neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Financial District,90 Washington Street,19N,10006,2,1,0,4300,0,RENTAL,950,f,t,,0.00,2025-05-08,2025-05-09,https://streeteasy.com/building/90w-90-washington-street-new_york/19n
Bath Beach,8635 21st Avenue,5U,11214,0,1,0,1700,1558,RENTAL,0,f,f,12,1.00,2025-05-09,2025-05-09,https://streeteasy.com/building/8633-21-avenue-brooklyn/5u
East Village,156 2nd Avenue,6D,10003,3,2,0,9500,8708,RENTAL,0,f,t,12,1.00,2025-05-19,2025-05-09,https://streeteasy.com/building/156_158-2-avenue-new_york/6d
Coney Island,2832 West 15th Street,2A,11224,4,1,0,3600,0,HOUSE,0,f,t,,0.00,2025-06-01,2025-05-09,https://streeteasy.com/building/2832-west-15-street-brooklyn/2a
McGinley Square,6 Apollo Street,,07306,2,1,0,2300,0,HOUSE,900,f,f,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/rental/4733215
East Harlem,173 East 102nd Street,3D,10029,1,1,0,2300,0,CONDO,0,f,f,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/173-east-102-street-new_york/3d
Wakefield,4016 Carpenter Avenue,3D,10466,1,1,0,2000,0,RENTAL,0,f,f,,0.00,2025-05-08,2025-05-09,https://streeteasy.com/building/4014-carpenter-avenue-bronx/3d
Bushwick,889 Bushwick Avenue,405,11221,2,1,0,3500,0,RENTAL,0,f,t,,0.00,2025-05-08,2025-05-09,https://streeteasy.com/building/889-bushwick-avenue-brooklyn/405
Clinton Hill,385 Grand Avenue,1,11238,3,2,1,9000,0,THREEFAMILY,2000,t,t,,0.00,2025-07-01,2025-05-09,https://streeteasy.com/building/385-grand-avenue-brooklyn/1
Co-op City,2203 Hunter Avenue,3,10475,3,2,0,3400,0,THREEFAMILY,1100,f,f,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/2203-hunter-avenue-bronx/3
Rego Park,61-61 Woodhaven Boulevard,2C,11374,1,1,0,1975,0,RENTAL,0,f,f,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/61_61-woodhaven-boulevard-rego_park/2c
Upper West Side,173 West 78th Street,3D,10024,0,1,0,5600,0,RENTAL,0,f,f,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/173-west-78-street-new_york/3d
Murray Hill,509 3rd Avenue,27C,10016,2,2,0,8995,0,RENTAL,0,f,t,,0.00,2025-05-15,2025-05-09,https://streeteasy.com/building/the-murray/27c
East Village,208 East 7th Street,9,10009,2,1,0,3600,0,RENTAL,0,f,f,,0.00,2025-06-15,2025-05-09,https://streeteasy.com/building/208-east-7-street-new_york/9
Lenox Hill,1427 York Avenue,4G,10021,0,1,0,2800,0,RENTAL,0,f,t,,0.00,2025-05-06,2025-05-09,https://streeteasy.com/building/1427-york-avenue-new_york/4g
Williamsburg,286 South 2nd Street,2F,11211,1,1,0,2800,0,RENTAL,0,f,f,,0.00,2025-07-01,2025-05-09,https://streeteasy.com/building/286-south-2-street-brooklyn/2f
Brooklyn Heights,43 Hicks Street,3L,11201,1,1,0,3200,0,MIXED_USE,700,f,f,,0.00,2025-06-01,2025-05-09,https://streeteasy.com/building/43-hicks-street-brooklyn/3l
Midwood,825 Ocean Parkway,5G,11230,0,1,0,1825,0,CO_OP,0,f,f,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/930-east-7th-street-brooklyn/5g
Turtle Bay,140 East 46th Street,6H,10017,1,1,0,3600,0,RENTAL,0,f,t,,0.00,2025-05-08,2025-05-09,https://streeteasy.com/building/140-east-46-street-new_york/6h
Bushwick,54 Noll Street,956,11206,1,1,0,3450,3185,RENTAL,611,f,t,13,1.00,2025-05-09,2025-05-09,https://streeteasy.com/building/54-noll-street-brooklyn/956
Upper West Side,295 Central Park West,14H,10024,1,1,0,6700,0,RENTAL,800,f,f,,0.00,2025-05-15,2025-05-09,https://streeteasy.com/building/295-central-park-west-new_york/14h
Bushwick,315 Cornelia Street,6,11237,1,1,0,2995,0,TWOFAMILY,0,f,t,,0.00,2025-06-06,2025-05-09,https://streeteasy.com/building/315-cornelia-street-brooklyn/6
Riverdale,440 West 238th Street,1A,10463,0,1,0,1300,0,HYBRID,0,f,f,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/440-west-238-street-bronx/1a
Greenwich Village,175 West 12th Street,18E,10011,2,2,0,14000,0,CONDO,0,f,f,,0.00,2025-08-01,2025-05-09,https://streeteasy.com/building/175-west-12-street-new_york/18e
Midwood,1500 Ocean Parkway,3C,11230,1,1,0,1825,0,CO_OP,0,f,f,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/1500-ocean-parkway-brooklyn/3c
East Village,201 2nd Avenue,3,10003,3,2,0,8500,0,RENTAL,0,f,t,,0.00,2025-06-05,2025-05-09,https://streeteasy.com/building/201-2-avenue-new_york/3
Bushwick,54 Noll Street,820,11206,1,1,0,4850,4477,RENTAL,770,f,t,13,1.00,2025-05-09,2025-05-09,https://streeteasy.com/building/54-noll-street-brooklyn/820
Hamilton Heights,608 West 140th Street,45,10031,2,1,0,3300,0,RENTAL,1000,f,f,,0.00,2025-06-01,2025-05-09,https://streeteasy.com/building/606-west-140-street-new_york/45
Flatbush,39 East 21st Street,PHC,11226,2,2,0,4161,0,RENTAL,0,f,f,,0.00,2025-06-01,2025-05-09,https://streeteasy.com/building/the-park-21/phc
Hunters Point,44-41 Purves Street,2002,11101,2,2,0,6335,0,RENTAL,0,f,f,,0.00,2025-07-01,2025-05-09,https://streeteasy.com/building/halo-lic/2002
Turtle Bay,951 Second Avenue,1A,10022,3,1,0,5400,0,MIXED_USE,1000,f,t,,0.00,2025-06-21,2025-05-09,https://streeteasy.com/building/951-2-avenue-new_york/1a
Ocean Hill,176 Rockaway Avenue,3R,11233,2,1,0,1800,0,RENTAL,700,f,f,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/176-rockaway-avenue-brooklyn/3r
Sutton Place,350 East 54th Street,3A,10022,0,1,0,3150,0,CONDO,0,f,t,,0.00,2025-06-15,2025-05-09,https://streeteasy.com/building/350-east-54-street-new_york/3a
Boerum Hill,526 Baltic Street,7B,11217,2,2,0,5850,5363,RENTAL,0,f,t,12,1.00,2025-05-09,2025-05-09,https://streeteasy.com/building/the-baltic-canal/7b
