neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Stuyvesant Heights,855 De Kalb Avenue,5E,11221,2,1,0,3000,0,RENTAL,0,f,f,,0.00,2025-07-01,2025-06-26,https://streeteasy.com/building/855-de-kalb-avenue-brooklyn/5e
Clinton Hill,489 Washington Avenue,2,11238,1,1,0,4195,0,RENTAL,0,f,f,,0.00,2025-08-01,2025-06-26,https://streeteasy.com/building/489-washington-avenue-brooklyn/2
Ridgewood,16-11 Jefferson Avenue,2C,11385,3,2,0,3200,0,RENTAL,750,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/16_11-jefferson-avenue-ridgewood/2c
Central Harlem,2035 5th Avenue,7J,10035,0,1,0,3195,2663,RENTAL,0,f,f,12,2.00,2025-07-05,2025-06-26,https://streeteasy.com/building/ray-harlem/7j
Kips Bay,250 East 25th Street,6D,10010,1,1,0,7350,0,CONDO,660,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/hendrix-house/rental/4778341
Crown Heights,475 Sterling Place,4D,11238,2,2,0,5950,0,CONDO,1093,f,f,,0.00,2025-08-01,2025-06-26,https://streeteasy.com/building/475-sterling-place-brooklyn/4d
Bedford-Stuyvesant,641 Marcy Avenue,29,11206,2,1,0,2890,0,RENTAL,0,f,f,,0.00,2025-07-01,2025-06-26,https://streeteasy.com/building/641-marcy-avenue-brooklyn/29
Yorkville,223 East 85th Street,4,10028,0,1,0,2750,0,RENTAL,0,f,f,,0.00,2025-07-15,2025-06-26,https://streeteasy.com/building/223-east-85-street-new_york/4
Tribeca,50 Murray Street,816,10007,3,1,0,7395,0,RENTAL,0,f,f,,0.00,2025-09-05,2025-06-26,https://streeteasy.com/building/50-murray-street-new_york/816
Stuyvesant Heights,616 Mac Donough Street,2,11233,2,2,1,6000,0,TWOFAMILY,2000,f,f,,0.00,2025-08-01,2025-06-26,https://streeteasy.com/building/616-mac-donough-street-brooklyn/2
Lenox Hill,525 East 72nd Street,16M,10021,2,2,0,9100,0,RENTAL,1230,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/one-east-river-place/16m
Fordham,558 East 191st Street,11,10458,3,1,0,4050,0,RENTAL,0,f,f,,0.00,2025-07-01,2025-06-26,https://streeteasy.com/building/558-east-191-street-bronx/11
Downtown Brooklyn,1 City Point,59A,11201,2,2,0,9300,0,CONDOP,1181,f,f,,0.00,2025-08-10,2025-06-26,https://streeteasy.com/building/brooklyn-point/59a
Williamsburg,44 Scholes Street,1R,11206,2,2,0,4500,0,MIXED_USE,0,f,f,,0.00,2025-08-01,2025-06-26,https://streeteasy.com/building/44-scholes-street-brooklyn/1r
Kips Bay,250 East 25th Street,8B,10010,0,1,0,6495,0,CONDO,0,f,f,,0.00,2025-06-19,2025-06-26,https://streeteasy.com/building/hendrix-house/rental/4772667
Bedford-Stuyvesant,952 Bedford Avenue,3F,11205,2,1,0,4095,0,RENTAL,0,f,f,,0.00,2025-08-01,2025-06-26,https://streeteasy.com/building/952-bedford-avenue-brooklyn/3f
Kips Bay,250 East 25th Street,8C,10010,0,1,0,6650,0,CONDO,0,f,f,,0.00,2025-06-25,2025-06-26,https://streeteasy.com/building/hendrix-house/rental/4777723
Midtown,150 West 51st Street,1526,10020,1,1,0,3900,0,CONDO,500,t,f,,0.00,2025-09-01,2025-06-26,https://streeteasy.com/building/150-west-51-street-new_york/1526
Soho,508 Broadway,4F,10012,1,1,0,16920,0,CONDO,1800,t,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/508-broadway-new_york/4f
Fordham,558 East 191st Street,14,10458,4,1,0,4650,0,RENTAL,0,f,f,,0.00,2025-07-01,2025-06-26,https://streeteasy.com/building/558-east-191-street-bronx/14
Bay Ridge,49 Mackay Place,1,11209,2,1,0,2195,0,RENTAL,0,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/49-mackay-place-brooklyn/1
Central Harlem,2847 Frederick Douglass Boulevard,2D,10039,2,1,0,2795,0,RENTAL,0,f,f,,0.00,2025-08-01,2025-06-26,https://streeteasy.com/building/2847-frederick-douglass-blvd-new_york/2d
Midtown South,145 Madison Avenue,14B,10016,3,1,0,6650,0,RENTAL,0,f,f,,0.00,2025-08-01,2025-06-26,https://streeteasy.com/building/the-mason/14b
Belmont,657 East 187th Street,4,10458,4,2,0,3600,0,MIXED_USE,0,t,f,,0.00,2025-07-01,2025-06-26,https://streeteasy.com/building/657-east-187-street-bronx/4
East Village,119 Saint Marks Place,11,10009,2,1,0,4200,0,RENTAL,0,f,f,,0.00,2025-08-01,2025-06-26,https://streeteasy.com/building/119-st-marks-place-new_york/11
Gramercy Park,325 1st Avenue,2F,10003,1,1,0,3300,0,RENTAL,0,f,f,,0.00,2025-08-01,2025-06-26,https://streeteasy.com/building/325-1-avenue-new_york/2f
Murray Hill,40 Park Avenue,10K,10016,0,1,0,4000,0,RENTAL,496,f,f,,0.00,2025-07-27,2025-06-26,https://streeteasy.com/building/40-park-avenue-new_york/10k
Flatbush,134 Erasmus Street,2D,11226,2,2,0,3399,0,MIXED_USE,0,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/134-erasmus-street-brooklyn/2d
Rego Park,85-82 Eliot Avenue,C2,11374,0,1,0,1657,0,RENTAL,0,f,f,,0.00,2025-07-02,2025-06-26,https://streeteasy.com/building/85_82-eliot-avenue-rego_park/c2
Greenwood,204A 33rd Street,3,11232,2,1,0,2900,0,THREEFAMILY,0,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/204a-33-street-brooklyn/3
Ditmars-Steinway,22-35 75th Street,B2,11370,2,1,0,2700,0,CONDO,950,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/22_35-75-street-east_elmhurst/b2
Long Island City,36-10 31st Street,H3,11106,1,1,0,3857,3560,RENTAL,0,f,f,13,1.00,2025-06-26,2025-06-26,https://streeteasy.com/building/urban36-36_10-31-street-long_island_city/h3
Flatbush,2140 Beverley Road,2A,11226,2,1,0,2699,0,TWOFAMILY,0,f,f,,0.00,2025-07-01,2025-06-26,https://streeteasy.com/building/2140-beverley-road-brooklyn/2a
Lower East Side,61 Rivington Street,4F,10002,2,2,0,21180,0,CONDO,1200,t,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/the-library/4f
Washington Heights,105 Haven Avenue,2E,10032,1,1,0,2557,0,RENTAL,0,f,f,,0.00,2025-07-01,2025-06-26,https://streeteasy.com/building/105-haven-avenue-new_york/2e
Park Slope,817 8th Avenue,1F,11215,2,1,0,4410,0,RENTAL,0,f,f,,0.00,2025-08-05,2025-06-26,https://streeteasy.com/building/817-8-avenue-brooklyn/1f
Bushwick,89 Moffat Street,2B,11207,1,1,0,2946,0,THREEFAMILY,0,f,f,,0.00,2025-07-01,2025-06-26,https://streeteasy.com/building/89-moffat-street-brooklyn/2b
Paulus Hook,155 Washington Street,210,07302,1,1,0,3350,0,RENTAL,763,f,f,,0.00,2025-08-14,2025-06-26,https://streeteasy.com/building/portside-towers/210
Paulus Hook,155 Washington Street,911,07302,1,1,0,4012,0,RENTAL,917,f,f,,0.00,2025-07-30,2025-06-26,https://streeteasy.com/building/portside-towers/911
Murray Hill,300 E. 39th Street,PHG,10016,2,2,0,7804,0,RENTAL,1033,f,f,,0.00,2025-10-02,2025-06-26,https://streeteasy.com/building/300-east-39th/phg
Hell's Kitchen,305 West 50th Street,11F,10019,1,1,0,4765,0,RENTAL,664,f,f,,0.00,2025-08-21,2025-06-26,https://streeteasy.com/building/longacre-house/11f
Hell's Kitchen,505 W. 54th Street,0501,10019,1,1,0,4441,0,RENTAL,631,f,f,,0.00,2025-08-28,2025-06-26,https://streeteasy.com/building/west-54th/0501
Central Park South,106 Central Park South,7F,10019,1,1,1,4850,0,CONDO,651,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/trump-parc/rental/4775625
Clinton Hill,489 Washington Avenue,3B,11238,2,1,0,4195,0,RENTAL,0,f,f,,0.00,2025-08-01,2025-06-26,https://streeteasy.com/building/489-washington-avenue-brooklyn/3b
Williamsburg,148 North 10th Street,2F,11249,1,1,0,5450,4996,RENTAL,0,f,f,12,1.00,2025-06-26,2025-06-26,https://streeteasy.com/building/williamsburg-haus/2f
Waterfront,33 Park View Avenue,1-2502,07302,1,1,0,3818,0,RENTAL,693,f,f,,0.00,2025-09-03,2025-06-26,https://streeteasy.com/building/vantage-33-park-view-avenue-jersey_city/12502
Lincoln Square,33 West End Avenue,21D,10023,1,1,0,4625,0,RENTAL,0,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/33-west-end-avenue-new_york/21d
