neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Waterfront,25 Christopher Columbus Drive,H25-2914,07302,2,2,0,8130,0,RENTAL,1166,f,f,,0.00,2025-12-23,2025-10-02,https://streeteasy.com/building/haus25-25-christopher-columbus-drive-jersey_city/h252914
Waterfront,425 Washington Boulevard,M1-1205,07310,0,1,0,3300,0,RENTAL,562,f,f,,0.00,2026-01-15,2025-10-02,https://streeteasy.com/building/the-blvd-collection/m11205
Waterfront,200 Greene Street,SAB-5608,07302,2,1,0,5025,0,UNKNOWN,824,f,f,,0.00,2025-11-30,2025-10-02,https://streeteasy.com/building/sable-200-greene-street-jersey_city/sab5608
Waterfront,200 Greene Street,SAB-2911,07302,1,1,0,4125,0,UNKNOWN,612,f,f,,0.00,2026-01-16,2025-10-02,https://streeteasy.com/building/sable-200-greene-street-jersey_city/sab2911
Historic Downtown,273 16th Street,SL-PH11,07310,2,2,0,4745,0,RENTAL,1107,f,f,,0.00,2025-11-29,2025-10-02,https://streeteasy.com/building/soho-lofts/slph11
Waterfront,425 Washington Boulevard,M1-1108,07310,1,1,0,3755,0,RENTAL,800,f,f,,0.00,2025-12-15,2025-10-02,https://streeteasy.com/building/the-blvd-collection/m11108
Waterfront,425 Washington Boulevard,M1-2912,07310,2,2,0,4890,0,RENTAL,1152,f,f,,0.00,2025-12-11,2025-10-02,https://streeteasy.com/building/the-blvd-collection/m12912
Waterfront,425 Washington Boulevard,M2-3203,07310,1,1,0,3980,0,RENTAL,759,f,f,,0.00,2025-11-17,2025-10-02,https://streeteasy.com/building/the-blvd-collection/m23203
Waterfront,200 Greene Street,SAB-4104,07302,1,1,0,3700,0,UNKNOWN,599,f,f,,0.00,2025-12-26,2025-10-02,https://streeteasy.com/building/sable-200-greene-street-jersey_city/sab4104
Waterfront,200 Greene Street,SAB-6109,07302,1,1,0,4330,0,UNKNOWN,699,f,f,,0.00,2025-12-19,2025-10-02,https://streeteasy.com/building/sable-200-greene-street-jersey_city/sab6109
Waterfront,200 Greene Street,SAB-2701,07302,0,1,0,3350,0,UNKNOWN,413,f,f,,0.00,2025-12-12,2025-10-02,https://streeteasy.com/building/sable-200-greene-street-jersey_city/sab2701
Waterfront,200 Greene Street,SAB-4810,07302,0,1,0,3430,0,UNKNOWN,456,f,f,,0.00,2025-12-19,2025-10-02,https://streeteasy.com/building/sable-200-greene-street-jersey_city/sab4810
North New York,419 East 135th Street,2D,10454,2,1,0,2700,0,MIXED_USE,0,f,f,,0.00,2025-10-01,2025-10-02,https://streeteasy.com/building/419-east-135-street-bronx/2d
