neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Upper West Side,801 Amsterdam Avenue,08H,10025,0,1,0,4157,0,RENTAL,598,f,t,,0.00,2025-05-02,2025-03-03,https://streeteasy.com/building/801-amsterdam-ave-new_york/08h
Financial District,10 Hanover Square,15P,10005,0,1,0,3966,0,RENTAL,557,f,t,,0.00,2025-05-02,2025-03-03,https://streeteasy.com/building/10-hanover-square-new_york/15p
Financial District,10 Hanover Square,02N,10005,0,1,0,4051,0,RENTAL,581,f,t,,0.00,2025-05-02,2025-03-03,https://streeteasy.com/building/10-hanover-square-new_york/02n
Washington Heights,629 West 170th Street,2E,10032,1,1,0,2375,2192,RENTAL,0,f,f,13,1.00,2025-03-02,2025-03-03,https://streeteasy.com/building/629-west-170-street-new_york/2e
East Harlem,173 East 117th Street,6,10035,1,1,0,2195,0,RENTAL,0,f,f,,0.00,2025-04-01,2025-03-03,https://streeteasy.com/building/173-east-117-street-new_york/6
Astoria,12-28 30th Road,1B,11102,2,1,0,3250,0,RENTAL,900,f,f,,0.00,2025-03-15,2025-03-03,https://streeteasy.com/building/12_28-30-road-astoria/1b
Canarsie,1625 Rockaway Parkway,W5,11236,2,1,0,2495,0,RENTAL,0,f,t,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/building/the-stanford-1625-rockaway-parkway-brooklyn/w5
Bedford-Stuyvesant,491 Classon Avenue,1,11238,1,1,0,3850,0,THREEFAMILY,0,f,f,,0.00,2025-04-01,2025-03-03,https://streeteasy.com/building/491-classon-avenue-brooklyn/1
Forest Hills,109-20 Queens Boulevard,2A,11375,1,1,0,2800,0,CONDO,661,f,t,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/building/109_20-queens-boulevard-forest_hills/2a
Flatiron,7 East 14th Street,1622,10003,0,1,0,3595,0,CO_OP,0,f,f,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/building/the-victoria/1622
Hell's Kitchen,402 West 46th Street,1E,10036,3,4,0,3600,0,RENTAL,0,f,f,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/building/402-west-46-street-new_york/1e
Cliffside Park,417 Washington Avenue,417,07010,3,2,0,4500,0,CONDO,0,f,f,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/building/417-washington-avenue-cliffside_park/417
Union City,303 49th Street,,07087,2,1,0,3575,0,CONDO,1700,f,f,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/rental/4669973
Union City,324 44th Street,B,07087,1,1,0,1600,0,UNKNOWN,600,f,f,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/building/324-44th-street-union_city/b
Jersey City,98 Van Nostrand Avenue,1R,07305,2,1,0,1800,0,HOUSE,900,f,f,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/building/98-van-nostrand-avenue-jersey_city/1r
Bayonne,83 East 25th Street,3,07002,2,1,0,3300,0,HOUSE,925,f,f,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/building/83-east-25-street-bayonne/3
North Bergen,8609 2nd Avenue,1,07047,3,1,0,3250,0,HOUSE,1000,f,f,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/building/8609-2-avenue-north_bergen/1
Journal Square,589 Pavonia Avenue,1802,07306,1,1,0,3113,0,UNKNOWN,591,f,f,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/building/589-pavonia-avenue-jersey_city/1802
Bayonne,77 West 11th Street,2,07002,3,1,0,2200,0,HOUSE,1120,f,f,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/building/77-west-11-street-bayonne/2
Historic Downtown,15-265 Erie Street,,07302,2,2,0,4200,0,UNKNOWN,1107,f,f,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/rental/4669978
Jersey City,9 Stevens Avenue,3,07305,3,1,0,2200,0,HOUSE,0,f,f,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/building/9-stevens-avenue-jersey_city/3
Astoria,30-95 29th Street,3A,11102,2,1,0,3495,0,RENTAL,0,f,t,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/building/30_95-29-street-astoria/3a
Hunters Point,44-41 Purves Street,1607,11101,1,1,0,4200,3877,RENTAL,0,f,t,13,1.00,2025-03-02,2025-03-03,https://streeteasy.com/building/halo-lic/1607
Hunters Point,42-20 27th Street,617,11101,1,1,0,3950,3646,RENTAL,0,f,t,13,1.00,2025-03-03,2025-03-03,https://streeteasy.com/building/bevel-lic/617
East Village,650 East 6th Street,5,10009,2,2,0,11000,0,CONDO,1228,f,f,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/building/650-east-6-street-new_york/5
West New York,24A Avenue,0209,07093,2,2,0,3346,0,RENTAL,1000,f,t,,0.00,2025-05-07,2025-03-03,https://streeteasy.com/building/riverbend-at-port-imperial/0209
West New York,24A Avenue,0113,07093,1,1,0,2617,0,RENTAL,721,f,t,,0.00,2025-03-31,2025-03-03,https://streeteasy.com/building/riverbend-at-port-imperial/0113
West New York,24A Avenue,1004,07093,1,1,0,2742,0,RENTAL,737,f,t,,0.00,2025-03-31,2025-03-03,https://streeteasy.com/building/riverbend-at-port-imperial/1004
Waterfront,20 2nd Street,2204,07302,1,1,0,3500,0,CONDO,724,f,f,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/building/mandalay-on-the-hudson/2204
